session,name,type,item,question_id,answer
ozm17a2m3muh8zm8pa3c3p72jxu8lj56,main,IMI,14,14,2
ozm17a2m3muh8zm8pa3c3p72jxu8lj56,main,IMI,15,15,2
ozm17a2m3muh8zm8pa3c3p72jxu8lj56,main,IMI,16,16,3
ozm17a2m3muh8zm8pa3c3p72jxu8lj56,main,IMI,17,17,2
ozm17a2m3muh8zm8pa3c3p72jxu8lj56,main,IMI,18,18,2
ozm17a2m3muh8zm8pa3c3p72jxu8lj56,main,IMI,19,19,2
ozm17a2m3muh8zm8pa3c3p72jxu8lj56,main,IMI,20,20,2
ozm17a2m3muh8zm8pa3c3p72jxu8lj56,main,IMI,21,21,3
ozm17a2m3muh8zm8pa3c3p72jxu8lj56,main,IMI,22,22,2
ozm17a2m3muh8zm8pa3c3p72jxu8lj56,main,PANAS,1,29,2
ozm17a2m3muh8zm8pa3c3p72jxu8lj56,main,PANAS,2,30,4
ozm17a2m3muh8zm8pa3c3p72jxu8lj56,main,PANAS,3,31,2
ozm17a2m3muh8zm8pa3c3p72jxu8lj56,main,PANAS,4,32,2
ozm17a2m3muh8zm8pa3c3p72jxu8lj56,main,PANAS,5,33,2
ozm17a2m3muh8zm8pa3c3p72jxu8lj56,main,PANAS,6,34,2
ozm17a2m3muh8zm8pa3c3p72jxu8lj56,main,PANAS,7,35,2
ozm17a2m3muh8zm8pa3c3p72jxu8lj56,main,PANAS,8,36,3
ozm17a2m3muh8zm8pa3c3p72jxu8lj56,main,PANAS,9,37,2
ozm17a2m3muh8zm8pa3c3p72jxu8lj56,main,PANAS,10,38,2
ozm17a2m3muh8zm8pa3c3p72jxu8lj56,main,PANAS,11,39,2
ozm17a2m3muh8zm8pa3c3p72jxu8lj56,main,PANAS,12,40,2
ozm17a2m3muh8zm8pa3c3p72jxu8lj56,main,PANAS,13,41,3
ozm17a2m3muh8zm8pa3c3p72jxu8lj56,main,PANAS,14,42,2
ozm17a2m3muh8zm8pa3c3p72jxu8lj56,main,PANAS,15,43,2
ozm17a2m3muh8zm8pa3c3p72jxu8lj56,main,PANAS,16,44,2
ozm17a2m3muh8zm8pa3c3p72jxu8lj56,main,PANAS,17,45,2
ozm17a2m3muh8zm8pa3c3p72jxu8lj56,main,PANAS,18,46,3
ozm17a2m3muh8zm8pa3c3p72jxu8lj56,main,PANAS,19,47,2
ozm17a2m3muh8zm8pa3c3p72jxu8lj56,main,PANAS,20,48,2
